Company_Name,PCA1,PCA2,Cluster,Sector
LG이노텍,0.1386787966391742,0.7322968479601116,3,전자 장비 및 기기
한미약품,0.1574910412006747,0.7052345539643623,3,제약
두산밥캣,0.5406774091179325,0.0452990419026184,1,기계
CJ,0.5686570319485418,0.0349772835603522,1,복합 산업
GS,0.5167903809831846,0.1628824738808912,1,석유 및 가스
현대오토에버,0.3927355144206187,0.356032102609034,1,IT 서비스
삼성E&A,0.5615252150194321,0.0658593221860067,1,건설
엘앤에프,-0.497894601642149,0.8233981580163401,3,전자 장비 및 기기
한화솔루션,0.531919657730503,-0.2102078691113059,1,에너지 시설 및 서비스
두산로보틱스,-0.7783646680585723,0.7977994843235283,3,기계
BNK금융지주,0.5134563184788901,0.2014840491025744,1,상업은행
JB금융지주,0.5538711201037303,0.0411958738731934,1,상업은행
